Vittorio,M
Gabriele,M
Vincenzo,M
Alfonso,M
Roberta,F
Alfredo,M
Alessandro,M
Giovanni,M
Vito,M
Mario,M
Umberto,M
Iles,M
Renato,M
Marco,M
Giorgio,M
Giusto,M
Giulietto,M
Luigi,M
Carlo,M
Paolo,M
Gianni,M
Michl,M
Claudio,M
Monica,F
Giuseppe,M
Jas,M
Donata,F
Lilli,F
Sepp,M
Romano Maria,M
Pia Elda,F
Raffaele,M
Andrea,M
Luisa,F
Roberto,M
Cristiana,F
Francesco,M
Alessandra,F
Sebastiano (Nello),M
Pasqualina,F
Achille,M
Pier Antonio,M
Aldo,M
Lapo,M
Guido,M
Adriana,F
Luca,M
Matteo,M
Amalia,F
Luciana,F
Francesco Enrico,M
Gianluca,M
Antonio,M
Salvatore,M
Patrizia,M
Armando,M
Riccardo,M
Donato Tommaso,M
Marcello,M
Marta,F
Mauro,M
Stefano,M
Nicola,M
Maurizio,M
Ferdinando,M
Angelo,M
Angelino,M
Ciro,M
Gioacchino,M
Khaled Fouad,M
Giuliano,M
Sesa,F
Francesco Maria,M
Rapisardo,M
Valentina,F
Sabatino,M
Pietro,M
Maria Teresa,F
Filippo,M
Mariza,F
Giacomo,M
Simone,M
Paola,F
Fulvia,F
Lucio,M
Fabio,M
Emerenzio,M
Felice,M
Teresa,F
Katia,F
Domenico,M
Romolo,M
Rosalba,F
Silvio,M
Massimo Maria,M
Pier Luigi,M
Fausto,M
Isabella,F
Gianfranco,M
Dorina,F
Gerardo,M
Michaela,F
Franca,F
Rosy,F
Italo,M
Gianpiero,M
Mariella,F
Lorenzo,M
Costantino,M
Sandro,M
Giulia,F
Emma,F
Margherita,F
Michele,M
Enrico,M
Gianclaudio,M
Federico,M
Carmelo,M
Siegfried,M
Donato,M
Gino,M
Milos,M
Gloria,F
Teodoro,M
Alberto,M
Giovanni Mario Salvino,M
Battista,M
Cesare,M
Davide,M
Daniele,M
Anna Maria,F
Maria Rosaria,F
Gabriella,F
Enzo,M
Francesco Saverio,M
Pier Ferdinando,M
Arnold,M
Pierluigi,M
Carla,F
Giuseppina,F
Basilio,M
Giampiero,M
Fiorella,F
Franco,M
Pier Paolo,M
Remigio,M
Bruno,M
Stefania Gabriella Anastasia,F
Vannino,M
Massimo,M
Fabrizio,M
Luciano,M
Sandra,F
Edmondo,M
Lucia,F
Manlio,M
Giulio,M
Elena Emma,F
Lionello,M
Rocco,M
Vladimiro,M
Olga,F
Sergio Antonio,M
Cinzia,F
Emilia Grazia,F
Raffaello,M
Peppe,M
Rodolfo,M
Ciriaco,M
Titti,F
Maria Letizia,F
Tana,F
Elettra,F
Emilio,M
Teresio,M
Sergio,M
Benedetto,M
Dante,M
Simeone,M
Manuela,F
Lello,M
Leopoldo,M
Oliviero,M
Daniela,F
Ida,F
Elena,F
Gianpaolo,M
Lino,M
Donatella,F
Antonello,M
Gaetano,M
Piero,M
Francesco Detto Ciccio,M
Pierangelo,M
Emanuele,M
Angela,F
Laura,F
Ilario,M
Giampaolo,M
Cinzia Maria,F
Gregorio,M
Anna Teresa,F
Tommaso,M
Grazia,F
Dario,M
Pieralfonso,M
Mercedes Lourdes,F
Massimo Saverio Ennio,M
Severino,M
Gian Luca,M
Pierfrancesco Emilio Romano,M
Elisabetta,F
Mariastella,F
Maria Ida,F
Sestino,M
Giancarlo,M
Oriano,M
Gaspare,M
Pasqualino,M
Gero,M
Ugo Maria Gianfranco,M
Wladimiro Vladimir Luxuria,M
Tino,M
Maria Fortuna,F
Marilina,F
Alì detto Alì Raschid,M
Ignazio,M
Maria Grazia,F
Linda,F
Maria,F
Vanni,M
Ricardo Franco,M
Orazio Antonio,M
Simonetta,F
Ugo,M
Antonino,M
Ezio,M
Angelo Maria Rosario,M
Aleandro,M
Mimmo,M
Francesco Paolo,M
Maurizio Enzo,M
Renzo,M
Carolina,F
Ramon,M
Maino,M
Raffaella,F
Giuseppe Francesco Maria,M
Mauro Maria,M
Leonardo,M
Graziella,F
Erminia,F
Giovanna,F
Cosimo,M
Giorgia,F
Ricardo Antonio,M
Maria Paola,F
Michele Pompeo,M
Ivano,M
Gennaro,M
Lorena,F
Eugenio,M
Aurelio Salvatore,M
Giustina,F
Silvano,M
Chiara,F
Donato Renato,M
Carmen,F
Silvana,F
Adriano,M
Rolando,M
Osvaldo,M
Franco Addolorato Giacinto,M
Sebastiano,M
Marisa,F
Roberto Rolando,M
Nicodemo Nazzareno,M
Leoluca,M
Rosella,F
Patrizia,F
Arturo Mario Luigi,M
Carmine Santo,M
Egidio Enrico,M
Gian Luigi,M
Ettore,M
Flavia,F
Flavio,M
Maria Cristina,F
Camillo,M
Guglielmo,M
Ferdinando Benito,M
Rino,M
Pino,M
Barbara,F
Egidio Luigi,M
Americo,M
Stefania,F
Romano,M
Marilde,F
Erminio Angelo,M
Ermete,M
Giuseppe Maria,M
Augusto,M
Federica,F
Ruggero,M
Marilena,F
Jole,F
Angelo Maria,M
Alba,F
Gian Franco,M
Arturo,M
Marina,F
Cosimo Giuseppe,M
Sabina,F
Silvio Emilio,M
Massimiliano,M
Valdo,M
Rosa,F
Lanfranco,M
Fulvio,M
Walter,M
Mirko,M
Lalla,F
Adolfo,M
Elias,M
Valentino,M
Silvia,F
Iacopo,M
Denis,M
Antonio Giuseppe Maria,M
Ermanno,M
Ludovico,M
Michele Giuseppe,M
Rodolfo Giuliano,M
Elio,M
Johann Georg,M
Luana,F
Valter,M
Leone Pietro Antonio,M
Karl,M
Marino,M
Maria Elisabetta,F
Martino,M
Gavino,M
Emanuela,F
Egidio,M
Fiorenza,F
Goffredo Maria,M
Maria Luisa,F
Anna Cinzia,F
Willer,M
Lidia,F
Emilio Nicola,M
